a2ps	4.14	Any-to-PostScriptフィルター
hardlink-osx	v0.1.1	OSXにハードリンクを実装するコマンドラインユーティリティ
harfbuzz	1.0.3	OpenTypeテキストシェーピングエンジン
hashcash	1.22	サービス拒否（DoS）攻撃に対抗するためのプルーフオブワークアルゴリズム
hashpump	v1.2.0	ハッシュ長拡張攻撃を悪用するツール
haskell-stack	v0.1.5.0	Haskellツールスタック
haxe	3.2.0	マルチプラットフォームプログラミング言語
hayai	v1.0.1	googletestフレームワークに触発されたC++ベンチマークフレームワーク
hbase	1.0.1.1	Hadoopデータベース：分散型でスケーラブルなビッグデータストア
headphones	v0.5.2	SABnzbd用の自動音楽ダウンローダー
hebcal	v3.18	コマンドライン用の永続的なユダヤ暦
hello	2.10	GNUコーディング標準と実践のためのモデルを提供するプログラム
help2man	1.47.2	簡単なマニュアルページを自動的に生成する
henplus	0.9.8	複数のセッションを並行して処理できるSQLシェル
hercules	3.10	System/370、ESA/390およびz/Architecture Emulator
heroku-toolbelt	3.42.22	Herokuを使い始めるために必要なすべて
herrie	2.2	Ncursesに基づいて構築されたミニマルなオーディオプレーヤー
hevea	2.23	LaTeXからHTMLへの翻訳者
hexcurse	1.58	Ncursesベースのコンソール16進エディター
hexedit	1.2.13	16進数またはASCIIでファイルを表示および編集する
hfsutils	3.2.6	Macintoshボリュームを読み書きするためのツール
hg-flow	v0.9.8	git-flowに触発されたMercurialの開発モデル
hh	1.17	Bashとzshの履歴はボックスを提案します
hicolor-icon-theme	0.15	FreeDesktop.orgアイコンテーマのフォールバックテーマ
hidapi	0.8.0	USBおよびBluetoothHIDデバイスと通信するためのライブラリ
highlight	3.23	ソースコードを構文の強調表示を使用してフォーマットされたテキストに変換します
highlighting-kate	0.5.15	Kateエディターに基づくHaskell構文強調表示ライブラリ
hilite	1.5	コマンドを実行し、STDERR出力を強調表示するCLIツール
hiredis	v0.13.3	Redisの最小限のクライアント
hive	1.2.1	Hadoopベースのデータの要約、クエリ、および分析
hoedown	3.0.1	安全なMarkdown処理（Sundownの復活したフォーク）
homebank	5.0.5	自宅で個人アカウントを管理する
honcho	v0.6.6	Procfileベースのアプリケーションを管理するためのForemanのPythonクローン
horndis	rel7	OSX用のUSBテザリングドライバー
hornetq	2.4.0	マルチプロトコル、埋め込み可能、​​クラスター化された非同期メッセージングシステム
hostdb	1.004	hostlist.txtからDNSゾーンとDHCP構成を生成します
hping	3.20051105	コマンドライン指向のTCP/IPパケットアセンブラ/アナライザ
hqx	1.1	ピクセルアート用に設計された倍率フィルター
hr	1.1	<hr />、ターミナルウィンドウ用
ht	2.1.0	実行可能ファイルのビューア/エディタ/アナライザ
html-xml-utils	6.7	HTMLおよびXMLファイルを操作するためのツール
html2text	1.3.2a	高度なHTMLからテキストへのコンバーター
htmlcleaner	2.10	Javaで書かれたHTMLパーサー
htmlcompressor	1.5.3	HTMLまたはXMLを縮小する
htmlcxx	0.85	C++用の非検証CSS1およびHTMLパーサー
htmldoc	1.8.28	HTMLをPDFまたはPostScriptに変換する
htop-osx	0.8.2.7	OS Xの改良されたトップ（インタラクティブプロセスビューア）
htpdate	0.9.1	リモートWebサーバーと時刻を同期する
http-parser	v2.5.0	cのHTTP要求/応答パーサー
http_load	20140814	並列フェッチを実行してWebサーバーのスループットをテストする
httperf	0.9.0	Webサーバーのパフォーマンスを測定するためのツール
httpie	0.9.2	ユーザーフレンドリーなcURL置換（コマンドラインHTTPクライアント）
httping	2.4	HTTPリクエスト用のpingのようなツール
httpry	0.1.8	HTTPトラフィックを表示およびログ記録するためのパケットスニファ
httptunnel	3.3	HTTPリクエストでデータストリームをトンネリングします
httrack	3.48.21	ウェブサイトコピー/オフラインブラウザ
hub	v2.2.1	コマンドラインでgitにGitHubサポートを追加する
hubflow	1.5.2	GitHubのGitFlow
hugo	v0.14	構成可能な静的サイトジェネレーター
hunspell	1.3.3	スペルチェッカーと形態素解析器
hydra	8.1	多くのサービスをサポートするネットワークログオンクラッカー
hyperestraier	1.4.13	コミュニティのための全文検索システム
hyperspec	7.0	Common LispANSI標準のハイパースペック
i2p	0.9.21	I2Pは匿名のオーバーレイネットワークです-ネットワーク内のネットワーク
i2util	1.2	Internet2ユーティリティツール
iat	0.1.7	多くのCD-ROM画像フォーマットをISO9660に変換します
ibex	2.1.16	実数に対する制約処理用のC++ライブラリ。
ical-buddy	v1.8.10	OSXカレンダーデータベースからイベントとタスクを取得する
icarus-verilog	0.9.7	Verilogシミュレーションおよび合成ツール
icbirc	2.0	プロキシIRCクライアントとICBサーバー
icdiff	1.7.3	改善されたカラー差分
ice	v3.6.0.	包括的なRPCフレームワーク
icecast	2.4.2	ストリーミングMP3オーディオサーバー
icecream	1.0.1	ビルド負荷を共有するための中央スケジューラーを備えた分散コンパイラー
icon	9.5.1	汎用プログラミング言語
icon-naming-utils	0.8.90	デスクトップアイコンテーマのアイコン名を処理するスクリプト
icoutils	0.31.0	MSWindowsのアイコンとカーソルを作成して抽出します
icu4c	55.1	Unicodeおよびグローバリゼーション用のC/C++およびJavaライブラリ
id3ed	1.10.4	MP3ファイル用のID3タグエディタ
id3lib	3.8.3	ID3タグの操作
id3tool	1.2a	ID3編集ツール
id3v2	2-0.1.12	ID3v2編集ツール
idcomments	0.18	インターネットドラフトからコメントを抽出する
ideviceinstaller	1.1.0	iOSデバイスと通信するためのクロスプラットフォームライブラリとツール
idnits	2.13.02	インターネットドラフトフォーマットの問題を探します
idris	v0.9.19	依存型を持つ純粋な関数型プログラミング言語
idutils	4.6	IDデータベースとクエリツール
ievms	v0.3.1	Microsoft IEAppCompat仮想マシンの自動インストール
ifstat	1.1	ネットワークインターフェイスの帯域幅を報告するツール
iftop	1.0pre4	インターフェイスの帯域幅使用量を表示します
ii	1.7	ミニマリストIRCクライアント
ike-scan	1.9	IKEホストの発見とフィンガープリント
ilmbase	2.2.0	OpenEXR ILMベースライブラリ（高ダイナミックレンジ画像ファイル形式）
imagejs	0.7.1	有効な画像ファイル内にJavaScriptを非表示にするツール
imagemagick	6.9.6-8	多くの形式の画像を操作するためのツールとライブラリ
imagesnap	v0.2.5	iSightまたは他のビデオソースから静止画像をキャプチャするためのツール
imageworsener	1.2.0	画像スケーリングと処理のためのユーティリティとライブラリ
imap-uw	2007f	ワシントン大学のIMAPツールキット
imapfilter	v2.6.1	IMAPメッセージプロセッサ/フィルタ
imapsync	1.607	IMAPメールアカウントの移行またはバックアップ
imessage-ruby	v0.3.1	iMessageを送信するためのコマンドラインツール
imgur-screenshot	v1.5.4	スクリーンショットを選択し、imgurにアップロードします。+もっとクールなもの
imlib2	1.4.7	画像の読み込みとレンダリングのライブラリ
influxdb	v0.9.4.1	時系列、イベント、およびメトリックデータベース
iniparser	3.1	iniファイルを解析するためのライブラリ
innoextract	1.4	InnoSetupによって作成されたインストーラーを解凍するツール
innotop	1.9.1	MySQLのトップクローン
ino	0.3.6	Arduinoハードウェアを操作するためのコマンドラインツールキット
inspircd	v2.0.20	モジュラーC++インターネットリレーチャットデーモン
intercal	0.30	難解なパロディープログラミング言語
internetarchive	0.8.5	さまざまなインターネットアーカイブAPIのPythonラッパー
intltool	0.51.0	ストリングツール
io	2013.12.04	小さなプロトタイプベースのプログラミング言語
iodine	0.7.0	DNSサーバーを介してIPv4データをトンネリングするためのツール
ioke	0.4.0	仮想マシンを対象とした動的言語
ioping	0.9	I/Oレイテンシをリアルタイムで監視するツール
ios-class-guard	0.6	Mach-O実行可能ファイル用のObjective-C難読化ツール
ios-sim	3.1.1	iOSシミュレーター用のコマンドラインアプリケーションランチャー
ios-webkit-debug-proxy	1.5	iOSデバイス用のDevToolsプロキシ
iozone	3_430	ファイルシステムベンチマークツール
ip_relay	0.71	TCPトラフィックシェーピングリレーアプリケーション
ipbt	20141026.2197432	UNIXターミナルセッションを記録するためのプログラム
ipcalc	0.41	特定のIPアドレスからさまざまなネットワークマスクなどを計算します
ipe	7.1.8	PDFまたはPS形式で図を作成するための描画エディタ
iperf	2.0.5	最大TCPおよびUDP帯域幅を測定するツール
iperf3	3.0.11	iperfの更新：TCP、UDP、およびSCTP帯域幅を測定します
ipfs	v0.3.7	IPFSは永続的なWebです-新しいピアツーピアハイパーメディアプロトコル
iphotoexport	1.6.4	iPhotoライブラリをフォルダツリーにエクスポートして同期する
ipinfo	1.1	IPネットワークの計算のためのツール
ipmitool	1.8.15	カーネルドライバまたはLANインターフェイスを使用したIPMI制御用のユーティリティ
ipmiutil	2.9.5	IPMIサーバー管理ユーティリティ
iprint	1.3	print_one関数を提供します
ipsumdump	1.85	TCP/IPダンプファイルを簡単に読み取れる自己記述型ASCII形式に要約します
ipv6calc	0.94.1	IPv6アドレスを操作するための小さなユーティリティ
ipv6toolkit	v2.0	IPv6のセキュリティ評価およびトラブルシューティングツール
ircd-hybrid	8.2.8	高性能で安全なIRCサーバー
ircd-irc2	2.11.2p3	元のIRCサーバーデーモン
ircii	20150903	IRCおよびICBクライアント
irods	3.3.1	統合データグリッドソフトウェアソリューション
irrlicht	1.8.1	リアルタイム3Dエンジン
irrtoolset	5.0.1	インターネットルーティングポリシーを操作するためのツール
irssi	0.8.17	モジュラーIRCクライアント
isc-dhcp	4.3.3	実稼働グレードのDHCPソリューション
isl	0.18	多面体モデルの整数セットライブラリ
isl011	0.11.1	多面体モデルの整数セットライブラリ
isl014	0.14	多面体モデルの整数セットライブラリ
iso-codes	3.61	ISO言語、地域、通貨、スクリプトコード、およびそれらの翻訳
ispc	v1.8.0	CPU上のSIMDプログラミング用のコンパイラ
ispell	3.4.00	国際Ispell
isync	1.2.0	maildirをIMAPサーバーと同期します
itex2mml	1.5.1	itex方程式をMathMLに変換するためのテキストフィルター
itpp	4.3.1	数学、信号、通信のクラスと関数のライブラリ
itstool	2.0.2	XMLドキュメントをPOファイルを介して翻訳可能にする
ivy	2.4.0	アジャイル依存関係マネージャー
jack	0.124.1	ジャックオーディオコネクションキット（JACK）
jags	3.4.0	ベイジアンMCMCシミュレーション用のもう1つのギブスサンプラー
jailkit	2.17	chrootjailに制限付きユーザーアカウントを作成するためのユーティリティ
jam	2.6	Make-likeビルドツール
